Running in wrapper mode for '20012'

Running python job.

[u'm1'] [u'medium'] [2]
testdfsio
/home/vode/pj/cherrypick-sandbox/spearmint/examples/typeea/experiment.txt
experiment:  <Experiment 2 name='testdfsio' count=0>
runs:  [<Run 57 expID=2 configID=17 time=37.95 num=0>]
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=1>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
<Run 57 expID=2 configID=17 time=37.95 num=0>
